Name;Offset;Val_g3;Val_g4;Size;Type
A429_1A_RX_SDI_LABEL[0];0x00000148;0xE2;0xE2;2;Unsigned Short
A429_1A_RX_SDI_LABEL[1];0x0000014A;0x6D;0x6D;2;Unsigned Short
A429_1A_RX_SDI_LABEL[2];0x0000014C;0x96;0x96;2;Unsigned Short
A429_1A_RX_SDI_LABEL[3];0x0000014E;0x94;0x94;2;Unsigned Short
A429_1A_RX_SDI_LABEL[4];0x00000150;0x6A;0x6A;2;Unsigned Short
A429_1A_RX_SDI_LABEL[5];0x00000152;0x73;0x73;2;Unsigned Short
A429_1A_RX_SDI_LABEL[6];0x00000154;0xB0;0xB0;2;Unsigned Short
A429_1A_RX_SDI_LABEL[7];0x00000156;0x69;0x69;2;Unsigned Short
A429_1A_RX_SDI_LABEL[8];0x00000158;0xD1;0xD1;2;Unsigned Short
A429_1A_RX_SDI_LABEL[9];0x0000015A;0x8F;0x8F;2;Unsigned Short
A429_1A_RX_SDI_LABEL[10];0x0000015C;0x70;0x70;2;Unsigned Short
A429_1A_RX_SDI_LABEL[11];0x0000015E;0x72;0x72;2;Unsigned Short
A429_1A_RX_SDI_LABEL[12];0x00000160;0x56;0x56;2;Unsigned Short
A429_1A_RX_SDI_LABEL[13];0x00000162;0x54;0x54;2;Unsigned Short
A429_1A_RX_SDI_LABEL[14];0x00000164;0xE0;0xE0;2;Unsigned Short
A429_1A_RX_SDI_LABEL[15];0x00000166;0x53;0x53;2;Unsigned Short
A429_1A_RX_SDI_LABEL[16];0x00000168;0xDE;0xDE;2;Unsigned Short
A429_1A_RX_SDI_LABEL[17];0x0000016A;0xDD;0xDD;2;Unsigned Short
A429_1A_RX_SDI_LABEL[18];0x0000016C;0xE4;0xE4;2;Unsigned Short
A429_1A_RX_SDI_LABEL[19];0x0000016E;0xE5;0xE5;2;Unsigned Short
A429_1A_RX_SDI_LABEL[20];0x00000170;0xE3;0xE3;2;Unsigned Short
A429_1A_RX_SDI_LABEL[21];0x00000172;0xD2;0xD2;2;Unsigned Short
A429_1A_RX_SDI_LABEL[22];0x00000174;0x6C;0x6C;2;Unsigned Short
A429_1A_RX_SDI_LABEL[23];0x00000176;0x83;0x83;2;Unsigned Short
A429_1A_RX_SDI_LABEL[24];0x00000178;0x71;0x71;2;Unsigned Short
A429_1A_RX_SDI_LABEL[25];0x0000017A;0x74;0x74;2;Unsigned Short
A429_1A_RX_SDI_LABEL[26];0x0000017C;0xDC;0xDC;2;Unsigned Short
A429_1A_RX_SDI_LABEL[27];0x0000017E;0xD5;0xD5;2;Unsigned Short
A429_1A_RX_SDI_LABEL[28];0x00000180;0x8B;0x8B;2;Unsigned Short
A429_1A_RX_SDI_LABEL[29];0x00000182;0x68;0x68;2;Unsigned Short
A429_1A_RX_SDI_LABEL[30];0x00000184;0xE1;0xE1;2;Unsigned Short
A429_1A_RX_SDI_LABEL[31];0x00000186;0x86;0x86;2;Unsigned Short
A429_1A_RX_SDI_LABEL[32];0x00000188;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[33];0x0000018A;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[34];0x0000018C;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[35];0x0000018E;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[36];0x00000190;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[37];0x00000192;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[38];0x00000194;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[39];0x00000196;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[40];0x00000198;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[41];0x0000019A;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[42];0x0000019C;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[43];0x0000019E;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[44];0x000001A0;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[45];0x000001A2;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[46];0x000001A4;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[47];0x000001A6;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[48];0x000001A8;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[49];0x000001AA;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[50];0x000001AC;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[51];0x000001AE;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[52];0x000001B0;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[53];0x000001B2;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[54];0x000001B4;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[55];0x000001B6;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[56];0x000001B8;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[57];0x000001BA;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[58];0x000001BC;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[59];0x000001BE;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[60];0x000001C0;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[61];0x000001C2;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[62];0x000001C4;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[63];0x000001C6;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[64];0x000001C8;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[65];0x000001CA;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[66];0x000001CC;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[67];0x000001CE;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[68];0x000001D0;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[69];0x000001D2;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[70];0x000001D4;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[71];0x000001D6;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[72];0x000001D8;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[73];0x000001DA;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[74];0x000001DC;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[75];0x000001DE;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[76];0x000001E0;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[77];0x000001E2;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[78];0x000001E4;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[79];0x000001E6;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[80];0x000001E8;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[81];0x000001EA;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[82];0x000001EC;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[83];0x000001EE;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[84];0x000001F0;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[85];0x000001F2;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[86];0x000001F4;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[87];0x000001F6;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[88];0x000001F8;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[89];0x000001FA;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[90];0x000001FC;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[91];0x000001FE;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[92];0x00000200;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[93];0x00000202;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[94];0x00000204;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[95];0x00000206;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[96];0x00000208;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[97];0x0000020A;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[98];0x0000020C;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[99];0x0000020E;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[100];0x00000210;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[101];0x00000212;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[102];0x00000214;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[103];0x00000216;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[104];0x00000218;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[105];0x0000021A;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[106];0x0000021C;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[107];0x0000021E;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[108];0x00000220;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[109];0x00000222;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[110];0x00000224;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[111];0x00000226;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[112];0x00000228;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[113];0x0000022A;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[114];0x0000022C;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[115];0x0000022E;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[116];0x00000230;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[117];0x00000232;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[118];0x00000234;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[119];0x00000236;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[120];0x00000238;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[121];0x0000023A;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[122];0x0000023C;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[123];0x0000023E;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[124];0x00000240;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[125];0x00000242;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[126];0x00000244;0x800;0x800;2;Unsigned Short
A429_1A_RX_SDI_LABEL[127];0x00000246;0x800;0x800;2;Unsigned Short
A429_IBIT_TX_ENABLE;0x00000248;0.0;0.0;4;Unsigned Long
A429_2AB_BAUD;0x0000024C;1.0;1.0;4;Unsigned Long
A429_2AB_RX_SDI_LABEL[0];0x00000250;0xE2;0xE2;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[1];0x00000252;0x6D;0x6D;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[2];0x00000254;0x96;0x96;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[3];0x00000256;0x94;0x94;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[4];0x00000258;0x6A;0x6A;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[5];0x0000025A;0x73;0x73;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[6];0x0000025C;0xB0;0xB0;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[7];0x0000025E;0x69;0x69;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[8];0x00000260;0xD1;0xD1;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[9];0x00000262;0x8F;0x8F;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[10];0x00000264;0x70;0x70;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[11];0x00000266;0x72;0x72;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[12];0x00000268;0x56;0x56;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[13];0x0000026A;0x54;0x54;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[14];0x0000026C;0xE0;0xE0;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[15];0x0000026E;0x53;0x53;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[16];0x00000270;0xDE;0xDE;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[17];0x00000272;0xDD;0xDD;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[18];0x00000274;0xE4;0xE4;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[19];0x00000276;0xE5;0xE5;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[20];0x00000278;0xE3;0xE3;2;Unsigned Short
